code,ts_code,weight,name,rebal_date
300628,300628.SZ,0.0037593984962406013,亿联网络,2026-04-01
603236,603236.SH,0.0037593984962406013,移远通信,2026-04-01
300679,300679.SZ,0.0037593984962406013,电连技术,2026-04-01
688789,688789.SH,0.0037593984962406013,宏华数科,2026-04-01
688188,688188.SH,0.0037593984962406013,柏楚电子,2026-04-01
601808,601808.SH,0.0037593984962406013,中海油服,2026-04-01
300470,300470.SZ,0.0037593984962406013,中密控股,2026-04-01
920982,920982.SZ,0.0037593984962406013,,2026-04-01
301275,301275.SZ,0.0037593984962406013,汉朔科技,2026-04-01
000768,000768.SZ,0.0037593984962406013,中航西飞,2026-04-01
605020,605020.SH,0.0037593984962406013,永和股份,2026-04-01
300525,300525.SZ,0.0037593984962406013,博思软件,2026-04-01
000025,000025.SZ,0.0037593984962406013,特力A,2026-04-01
688449,688449.SH,0.0037593984962406013,联芸科技,2026-04-01
688111,688111.SH,0.0037593984962406013,金山办公,2026-04-01
603194,603194.SH,0.0037593984962406013,中力股份,2026-04-01
601799,601799.SH,0.0037593984962406013,星宇股份,2026-04-01
605333,605333.SH,0.0037593984962406013,沪光股份,2026-04-01
603596,603596.SH,0.0037593984962406013,伯特利,2026-04-01
603501,603501.SH,0.0037593984962406013,豪威集团,2026-04-01
603025,603025.SH,0.0037593984962406013,大豪科技,2026-04-01
601865,601865.SH,0.0037593984962406013,福莱特,2026-04-01
002906,002906.SZ,0.0037593984962406013,华阳集团,2026-04-01
002410,002410.SZ,0.0037593984962406013,广联达,2026-04-01
603072,603072.SH,0.0037593984962406013,天和磁材,2026-04-01
688772,688772.SH,0.0037593984962406013,珠海冠宇,2026-04-01
002920,002920.SZ,0.0037593984962406013,德赛西威,2026-04-01
002096,002096.SZ,0.0037593984962406013,易普力,2026-04-01
603341,603341.SH,0.0037593984962406013,龙旗科技,2026-04-01
002617,002617.SZ,0.0037593984962406013,露笑科技,2026-04-01
001391,001391.SZ,0.0037593984962406013,国货航,2026-04-01
301058,301058.SZ,0.0037593984962406013,中粮科工,2026-04-01
002997,002997.SZ,0.0037593984962406013,瑞鹄模具,2026-04-01
301029,301029.SZ,0.0037593984962406013,怡合达,2026-04-01
603855,603855.SH,0.0037593984962406013,华荣股份,2026-04-01
002690,002690.SZ,0.0037593984962406013,美亚光电,2026-04-01
603786,603786.SH,0.0037593984962406013,科博达,2026-04-01
605499,605499.SH,0.0037593984962406013,东鹏饮料,2026-04-01
300926,300926.SZ,0.0037593984962406013,博俊科技,2026-04-01
600071,600071.SH,0.0037593984962406013,凤凰光学,2026-04-01
600760,600760.SH,0.0037593984962406013,中航沈飞,2026-04-01
600609,600609.SH,0.0037593984962406013,金杯汽车,2026-04-01
601686,601686.SH,0.0037593984962406013,友发集团,2026-04-01
603338,603338.SH,0.0037593984962406013,浙江鼎力,2026-04-01
300705,300705.SZ,0.0037593984962406013,九典制药,2026-04-01
002073,002073.SZ,0.0037593984962406013,软控股份,2026-04-01
301479,301479.SZ,0.0037593984962406013,弘景光电,2026-04-01
688692,688692.SH,0.0037593984962406013,达梦数据,2026-04-01
002352,002352.SZ,0.0037593984962406013,顺丰控股,2026-04-01
002701,002701.SZ,0.0037593984962406013,奥瑞金,2026-04-01
601022,601022.SH,0.0037593984962406013,宁波远洋,2026-04-01
000848,000848.SZ,0.0037593984962406013,承德露露,2026-04-01
300850,300850.SZ,0.0037593984962406013,新强联,2026-04-01
001227,001227.SZ,0.0037593984962406013,兰州银行,2026-04-01
688219,688219.SH,0.0037593984962406013,会通股份,2026-04-01
600610,600610.SH,0.0037593984962406013,中毅达,2026-04-01
688475,688475.SH,0.0037593984962406013,萤石网络,2026-04-01
002375,002375.SZ,0.0037593984962406013,亚厦股份,2026-04-01
603055,603055.SH,0.0037593984962406013,台华新材,2026-04-01
002351,002351.SZ,0.0037593984962406013,漫步者,2026-04-01
300566,300566.SZ,0.0037593984962406013,激智科技,2026-04-01
301551,301551.SZ,0.0037593984962406013,无线传媒,2026-04-01
600862,600862.SH,0.0037593984962406013,中航高科,2026-04-01
002572,002572.SZ,0.0037593984962406013,索菲亚,2026-04-01
300847,300847.SZ,0.0037593984962406013,中船汉光,2026-04-01
688798,688798.SH,0.0037593984962406013,艾为电子,2026-04-01
603277,603277.SH,0.0037593984962406013,银都股份,2026-04-01
003013,003013.SZ,0.0037593984962406013,地铁设计,2026-04-01
600690,600690.SH,0.0037593984962406013,海尔智家,2026-04-01
600011,600011.SH,0.0037593984962406013,华能国际,2026-04-01
002698,002698.SZ,0.0037593984962406013,博实股份,2026-04-01
300979,300979.SZ,0.0037593984962406013,华利集团,2026-04-01
002984,002984.SZ,0.0037593984962406013,森麒麟,2026-04-01
601827,601827.SH,0.0037593984962406013,三峰环境,2026-04-01
002011,002011.SZ,0.0037593984962406013,盾安环境,2026-04-01
688278,688278.SH,0.0037593984962406013,特宝生物,2026-04-01
688198,688198.SH,0.0037593984962406013,佰仁医疗,2026-04-01
603153,603153.SH,0.0037593984962406013,上海建科,2026-04-01
603658,603658.SH,0.0037593984962406013,安图生物,2026-04-01
688533,688533.SH,0.0037593984962406013,上声电子,2026-04-01
002612,002612.SZ,0.0037593984962406013,朗姿股份,2026-04-01
301339,301339.SZ,0.0037593984962406013,通行宝,2026-04-01
001323,001323.SZ,0.0037593984962406013,慕思股份,2026-04-01
000513,000513.SZ,0.0037593984962406013,丽珠集团,2026-04-01
600416,600416.SH,0.0037593984962406013,湘电股份,2026-04-01
002489,002489.SZ,0.0037593984962406013,浙江永强,2026-04-01
603613,603613.SH,0.0037593984962406013,国联股份,2026-04-01
301602,301602.SZ,0.0037593984962406013,超研股份,2026-04-01
300124,300124.SZ,0.0037593984962406013,汇川技术,2026-04-01
002116,002116.SZ,0.0037593984962406013,中国海诚,2026-04-01
000651,000651.SZ,0.0037593984962406013,格力电器,2026-04-01
603605,603605.SH,0.0037593984962406013,珀莱雅,2026-04-01
000544,000544.SZ,0.0037593984962406013,中原环保,2026-04-01
603195,603195.SH,0.0037593984962406013,公牛集团,2026-04-01
600861,600861.SH,0.0037593984962406013,北京人力,2026-04-01
600018,600018.SH,0.0037593984962406013,上港集团,2026-04-01
300832,300832.SZ,0.0037593984962406013,新产业,2026-04-01
300681,300681.SZ,0.0037593984962406013,英搏尔,2026-04-01
600570,600570.SH,0.0037593984962406013,恒生电子,2026-04-01
300015,300015.SZ,0.0037593984962406013,爱尔眼科,2026-04-01
600933,600933.SH,0.0037593984962406013,爱柯迪,2026-04-01
689009,689009.SH,0.0037593984962406013,九号公司,2026-04-01
301078,301078.SZ,0.0037593984962406013,孩子王,2026-04-01
600038,600038.SH,0.0037593984962406013,中直股份,2026-04-01
300298,300298.SZ,0.0037593984962406013,三诺生物,2026-04-01
002841,002841.SZ,0.0037593984962406013,视源股份,2026-04-01
603383,603383.SH,0.0037593984962406013,顶点软件,2026-04-01
601528,601528.SH,0.0037593984962406013,瑞丰银行,2026-04-01
601702,601702.SH,0.0037593984962406013,华峰铝业,2026-04-01
000410,000410.SZ,0.0037593984962406013,沈阳机床,2026-04-01
601137,601137.SH,0.0037593984962406013,博威合金,2026-04-01
688138,688138.SH,0.0037593984962406013,清溢光电,2026-04-01
603995,603995.SH,0.0037593984962406013,甬金股份,2026-04-01
300910,300910.SZ,0.0037593984962406013,瑞丰新材,2026-04-01
688100,688100.SH,0.0037593984962406013,威胜信息,2026-04-01
688065,688065.SH,0.0037593984962406013,凯赛生物,2026-04-01
601966,601966.SH,0.0037593984962406013,玲珑轮胎,2026-04-01
603039,603039.SH,0.0037593984962406013,泛微网络,2026-04-01
603187,603187.SH,0.0037593984962406013,海容冷链,2026-04-01
600361,600361.SH,0.0037593984962406013,创新新材,2026-04-01
000030,000030.SZ,0.0037593984962406013,富奥股份,2026-04-01
603899,603899.SH,0.0037593984962406013,晨光股份,2026-04-01
600612,600612.SH,0.0037593984962406013,老凤祥,2026-04-01
601058,601058.SH,0.0037593984962406013,赛轮轮胎,2026-04-01
002074,002074.SZ,0.0037593984962406013,国轩高科,2026-04-01
601766,601766.SH,0.0037593984962406013,中国中车,2026-04-01
002941,002941.SZ,0.0037593984962406013,新疆交建,2026-04-01
600874,600874.SH,0.0037593984962406013,创业环保,2026-04-01
688708,688708.SH,0.0037593984962406013,佳驰科技,2026-04-01
002415,002415.SZ,0.0037593984962406013,海康威视,2026-04-01
000963,000963.SZ,0.0037593984962406013,华东医药,2026-04-01
600436,600436.SH,0.0037593984962406013,片仔癀,2026-04-01
688036,688036.SH,0.0037593984962406013,传音控股,2026-04-01
688050,688050.SH,0.0037593984962406013,爱博医疗,2026-04-01
002395,002395.SZ,0.0037593984962406013,双象股份,2026-04-01
300428,300428.SZ,0.0037593984962406013,立中集团,2026-04-01
300760,300760.SZ,0.0037593984962406013,迈瑞医疗,2026-04-01
688330,688330.SH,0.0037593984962406013,宏力达,2026-04-01
002967,002967.SZ,0.0037593984962406013,广电计量,2026-04-01
003006,003006.SZ,0.0037593984962406013,百亚股份,2026-04-01
603997,603997.SH,0.0037593984962406013,继峰股份,2026-04-01
002006,002006.SZ,0.0037593984962406013,精工科技,2026-04-01
300896,300896.SZ,0.0037593984962406013,爱美客,2026-04-01
002668,002668.SZ,0.0037593984962406013,TCL智家,2026-04-01
600582,600582.SH,0.0037593984962406013,天地科技,2026-04-01
000498,000498.SZ,0.0037593984962406013,山东路桥,2026-04-01
300661,300661.SZ,0.0037593984962406013,圣邦股份,2026-04-01
600378,600378.SH,0.0037593984962406013,昊华科技,2026-04-01
000403,000403.SZ,0.0037593984962406013,派林生物,2026-04-01
301510,301510.SZ,0.0037593984962406013,固高科技,2026-04-01
300406,300406.SZ,0.0037593984962406013,九强生物,2026-04-01
600885,600885.SH,0.0037593984962406013,宏发股份,2026-04-01
000100,000100.SZ,0.0037593984962406013,TCL科技,2026-04-01
603529,603529.SH,0.0037593984962406013,爱玛科技,2026-04-01
300685,300685.SZ,0.0037593984962406013,艾德生物,2026-04-01
600458,600458.SH,0.0037593984962406013,时代新材,2026-04-01
300662,300662.SZ,0.0037593984962406013,科锐国际,2026-04-01
601128,601128.SH,0.0037593984962406013,常熟银行,2026-04-01
300496,300496.SZ,0.0037593984962406013,中科创达,2026-04-01
002221,002221.SZ,0.0037593984962406013,东华能源,2026-04-01
600763,600763.SH,0.0037593984962406013,通策医疗,2026-04-01
600576,600576.SH,0.0037593984962406013,祥源文旅,2026-04-01
000726,000726.SZ,0.0037593984962406013,鲁泰A,2026-04-01
600853,600853.SH,0.0037593984962406013,龙建股份,2026-04-01
000563,000563.SZ,0.0037593984962406013,陕国投A,2026-04-01
601965,601965.SH,0.0037593984962406013,中国汽研,2026-04-01
688088,688088.SH,0.0037593984962406013,虹软科技,2026-04-01
600976,600976.SH,0.0037593984962406013,健民集团,2026-04-01
603209,603209.SH,0.0037593984962406013,兴通股份,2026-04-01
600848,600848.SH,0.0037593984962406013,上海临港,2026-04-01
600276,600276.SH,0.0037593984962406013,恒瑞医药,2026-04-01
600050,600050.SH,0.0037593984962406013,中国联通,2026-04-01
600529,600529.SH,0.0037593984962406013,山东药玻,2026-04-01
603611,603611.SH,0.0037593984962406013,诺力股份,2026-04-01
002245,002245.SZ,0.0037593984962406013,蔚蓝锂芯,2026-04-01
300144,300144.SZ,0.0037593984962406013,宋城演艺,2026-04-01
605183,605183.SH,0.0037593984962406013,确成股份,2026-04-01
688082,688082.SH,0.0037593984962406013,盛美上海,2026-04-01
002568,002568.SZ,0.0037593984962406013,百润股份,2026-04-01
002032,002032.SZ,0.0037593984962406013,苏泊尔,2026-04-01
002241,002241.SZ,0.0037593984962406013,歌尔股份,2026-04-01
600523,600523.SH,0.0037593984962406013,贵航股份,2026-04-01
600729,600729.SH,0.0037593984962406013,重百集团,2026-04-01
688271,688271.SH,0.0037593984962406013,联影医疗,2026-04-01
000733,000733.SZ,0.0037593984962406013,振华科技,2026-04-01
600150,600150.SH,0.0037593984962406013,中国船舶,2026-04-01
688690,688690.SH,0.0037593984962406013,纳微科技,2026-04-01
603323,603323.SH,0.0037593984962406013,苏农银行,2026-04-01
300777,300777.SZ,0.0037593984962406013,中简科技,2026-04-01
688508,688508.SH,0.0037593984962406013,芯朋微,2026-04-01
688187,688187.SH,0.0037593984962406013,时代电气,2026-04-01
603313,603313.SH,0.0037593984962406013,梦百合,2026-04-01
002749,002749.SZ,0.0037593984962406013,国光股份,2026-04-01
603197,603197.SH,0.0037593984962406013,保隆科技,2026-04-01
688209,688209.SH,0.0037593984962406013,英集芯,2026-04-01
600850,600850.SH,0.0037593984962406013,电科数字,2026-04-01
002179,002179.SZ,0.0037593984962406013,中航光电,2026-04-01
000921,000921.SZ,0.0037593984962406013,海信家电,2026-04-01
600662,600662.SH,0.0037593984962406013,外服控股,2026-04-01
603112,603112.SH,0.0037593984962406013,华翔股份,2026-04-01
600668,600668.SH,0.0037593984962406013,尖峰集团,2026-04-01
600908,600908.SH,0.0037593984962406013,无锡银行,2026-04-01
603689,603689.SH,0.0037593984962406013,皖天然气,2026-04-01
300320,300320.SZ,0.0037593984962406013,海达股份,2026-04-01
603160,603160.SH,0.0037593984962406013,汇顶科技,2026-04-01
300576,300576.SZ,0.0037593984962406013,容大感光,2026-04-01
688099,688099.SH,0.0037593984962406013,晶晨股份,2026-04-01
600993,600993.SH,0.0037593984962406013,马应龙,2026-04-01
688101,688101.SH,0.0037593984962406013,三达膜,2026-04-01
600161,600161.SH,0.0037593984962406013,天坛生物,2026-04-01
688615,688615.SH,0.0037593984962406013,合合信息,2026-04-01
600283,600283.SH,0.0037593984962406013,钱江水利,2026-04-01
688665,688665.SH,0.0037593984962406013,四方光电,2026-04-01
601607,601607.SH,0.0037593984962406013,上海医药,2026-04-01
002311,002311.SZ,0.0037593984962406013,海大集团,2026-04-01
600812,600812.SH,0.0037593984962406013,华北制药,2026-04-01
601038,601038.SH,0.0037593984962406013,一拖股份,2026-04-01
002959,002959.SZ,0.0037593984962406013,小熊电器,2026-04-01
688526,688526.SH,0.0037593984962406013,科前生物,2026-04-01
300174,300174.SZ,0.0037593984962406013,元力股份,2026-04-01
688093,688093.SH,0.0037593984962406013,世华科技,2026-04-01
603939,603939.SH,0.0037593984962406013,益丰药房,2026-04-01
300893,300893.SZ,0.0037593984962406013,松原安全,2026-04-01
002867,002867.SZ,0.0037593984962406013,周大生,2026-04-01
600928,600928.SH,0.0037593984962406013,西安银行,2026-04-01
002884,002884.SZ,0.0037593984962406013,凌霄泵业,2026-04-01
301267,301267.SZ,0.0037593984962406013,华厦眼科,2026-04-01
603444,603444.SH,0.0037593984962406013,吉比特,2026-04-01
300595,300595.SZ,0.0037593984962406013,欧普康视,2026-04-01
600660,600660.SH,0.0037593984962406013,福耀玻璃,2026-04-01
002049,002049.SZ,0.0037593984962406013,紫光国微,2026-04-01
688333,688333.SH,0.0037593984962406013,铂力特,2026-04-01
000936,000936.SZ,0.0037593984962406013,华西股份,2026-04-01
002847,002847.SZ,0.0037593984962406013,盐津铺子,2026-04-01
002783,002783.SZ,0.0037593984962406013,凯龙股份,2026-04-01
603733,603733.SH,0.0037593984962406013,仙鹤股份,2026-04-01
603979,603979.SH,0.0037593984962406013,金诚信,2026-04-01
688267,688267.SH,0.0037593984962406013,中触媒,2026-04-01
300573,300573.SZ,0.0037593984962406013,兴齐眼药,2026-04-01
002372,002372.SZ,0.0037593984962406013,伟星新材,2026-04-01
301522,301522.SZ,0.0037593984962406013,上大股份,2026-04-01
300441,300441.SZ,0.0037593984962406013,鲍斯股份,2026-04-01
002003,002003.SZ,0.0037593984962406013,伟星股份,2026-04-01
600728,600728.SH,0.0037593984962406013,佳都科技,2026-04-01
300012,300012.SZ,0.0037593984962406013,华测检测,2026-04-01
000713,000713.SZ,0.0037593984962406013,国投丰乐,2026-04-01
300415,300415.SZ,0.0037593984962406013,伊之密,2026-04-01
601599,601599.SH,0.0037593984962406013,浙文影业,2026-04-01
002543,002543.SZ,0.0037593984962406013,万和电气,2026-04-01
002605,002605.SZ,0.0037593984962406013,姚记科技,2026-04-01
002206,002206.SZ,0.0037593984962406013,海利得,2026-04-01
600717,600717.SH,0.0037593984962406013,天津港,2026-04-01
603363,603363.SH,0.0037593984962406013,傲农生物,2026-04-01
001914,001914.SZ,0.0037593984962406013,招商积余,2026-04-01
002120,002120.SZ,0.0037593984962406013,韵达股份,2026-04-01
600338,600338.SH,0.0037593984962406013,西藏珠峰,2026-04-01
300039,300039.SZ,0.0037593984962406013,上海凯宝,2026-04-01
600563,600563.SH,0.0037593984962406013,法拉电子,2026-04-01
002881,002881.SZ,0.0037593984962406013,美格智能,2026-04-01
601199,601199.SH,0.0037593984962406013,江南水务,2026-04-01
300319,300319.SZ,0.0037593984962406013,麦捷科技,2026-04-01
600970,600970.SH,0.0037593984962406013,中材国际,2026-04-01
300623,300623.SZ,0.0037593984962406013,捷捷微电,2026-04-01
600210,600210.SH,0.0037593984962406013,紫江企业,2026-04-01
002262,002262.SZ,0.0037593984962406013,恩华药业,2026-04-01
688617,688617.SH,0.0037593984962406013,惠泰医疗,2026-04-01
