ts_code,code,weight,value分,pe_ttm,pb,circ_mv亿,name
688198.SH,688198,0.0037593984962406013,0.974,67.3,11.26,138.1,佰仁医疗
603153.SH,603153,0.0037593984962406013,0.973,21.6,1.82,64.9,上海建科
603658.SH,603658,0.0037593984962406013,0.973,17.9,2.24,196.3,安图生物
688533.SH,688533,0.0037593984962406013,0.973,23.3,2.54,42.9,上声电子
002612.SZ,002612,0.0037593984962406013,0.973,7.2,2.19,43.1,朗姿股份
301339.SZ,301339,0.0037593984962406013,0.972,34.4,2.76,74.6,通行宝
001323.SZ,001323,0.0037593984962406013,0.972,15.0,2.42,76.4,慕思股份
000513.SZ,000513,0.0037593984962406013,0.972,15.3,2.23,198.3,丽珠集团
600416.SH,600416,0.0037593984962406013,0.972,66.9,1.95,188.5,湘电股份
002489.SZ,002489,0.0037593984962406013,0.971,11.5,1.6,66.2,浙江永强
603613.SH,603613,0.0037593984962406013,0.971,12.8,2.07,183.4,国联股份
301602.SZ,301602,0.0037593984962406013,0.971,60.9,6.66,42.2,超研股份
300124.SZ,300124,0.0037593984962406013,0.97,35.6,5.37,1636.3,汇川技术
002116.SZ,002116,0.0037593984962406013,0.97,14.1,1.74,47.8,中国海诚
000651.SZ,000651,0.0037593984962406013,0.97,6.7,1.53,2096.9,格力电器
603605.SH,603605,0.0037593984962406013,0.969,15.5,4.6,243.9,珀莱雅
000544.SZ,000544,0.0037593984962406013,0.969,7.8,0.92,83.2,中原环保
603195.SH,603195,0.0037593984962406013,0.968,19.0,4.84,755.0,公牛集团
600861.SH,600861,0.0037593984962406013,0.968,8.0,1.29,59.7,北京人力
600018.SH,600018,0.0037593984962406013,0.968,8.6,0.83,1171.6,上港集团
300832.SZ,300832,0.0037593984962406013,0.967,23.7,4.48,340.5,新产业
300681.SZ,300681,0.0037593984962406013,0.967,39.3,2.19,50.1,英搏尔
600570.SH,600570,0.0037593984962406013,0.967,39.8,4.98,489.5,恒生电子
300015.SZ,300015,0.0037593984962406013,0.967,28.1,4.17,770.9,爱尔眼科
600933.SH,600933,0.0037593984962406013,0.966,16.0,1.88,166.4,爱柯迪
689009.SH,689009,0.0037593984962406013,0.966,18.5,4.72,249.7,九号公司
301078.SZ,301078,0.0037593984962406013,0.966,40.8,2.54,105.1,孩子王
600038.SH,600038,0.0037593984962406013,0.965,42.6,1.58,226.4,中直股份
300298.SZ,300298,0.0037593984962406013,0.965,32.6,2.88,74.1,三诺生物
002841.SZ,002841,0.0037593984962406013,0.965,22.8,1.73,172.2,视源股份
603383.SH,603383,0.0037593984962406013,0.964,30.4,4.2,59.7,顶点软件
601528.SH,601528,0.0037593984962406013,0.964,5.3,0.53,92.6,瑞丰银行
601702.SH,601702,0.0037593984962406013,0.964,16.3,3.05,196.4,华峰铝业
000410.SZ,000410,0.0037593984962406013,0.963,135.8,3.02,113.3,沈阳机床
601137.SH,601137,0.0037593984962406013,0.963,15.0,1.67,170.8,博威合金
688138.SH,688138,0.0037593984962406013,0.963,45.1,3.04,84.5,清溢光电
603995.SH,603995,0.0037593984962406013,0.962,9.7,1.13,64.8,甬金股份
300910.SZ,300910,0.0037593984962406013,0.962,20.8,4.01,107.0,瑞丰新材
688100.SH,688100,0.0037593984962406013,0.962,27.3,5.13,181.7,威胜信息
688065.SH,688065,0.0037593984962406013,0.961,63.9,2.04,292.2,凯赛生物
601966.SH,601966,0.0037593984962406013,0.96,17.2,0.9,207.7,玲珑轮胎
603039.SH,603039,0.0037593984962406013,0.96,41.2,5.25,119.1,泛微网络
603187.SH,603187,0.0037593984962406013,0.959,14.6,1.36,55.4,海容冷链
600361.SH,600361,0.0037593984962406013,0.959,16.7,1.4,154.9,创新新材
000030.SZ,000030,0.0037593984962406013,0.959,13.3,1.1,86.9,富奥股份
603899.SH,603899,0.0037593984962406013,0.958,17.9,2.53,235.2,晨光股份
600612.SH,600612,0.0037593984962406013,0.958,12.5,1.66,132.5,老凤祥
601058.SH,601058,0.0037593984962406013,0.958,12.3,2.15,453.4,赛轮轮胎
