ts_code,ann_date,proc,回购金额比例,回购股本比例,回购溢价,信心强度,roe,pb,破净,dv_ttm,ocf_to_profit,事件前2月跌幅,cur_close,high_limit,low_limit,现价低于回购上限
603729.SH,2026-04-21,完成,0.010495411409446164,0.012726075271442226,-0.3853289309081104,1.1021087680355162,-19.217,5.3591,False,0.0595,,-0.13194811,16.2012,14.47,12.12,False
603713.SH,2026-06-18,完成,0.010591201094028406,0.011460363470973635,-0.08459099883390597,1.1000123319768158,3.7947,1.9401,False,1.6584,-17.448,0.038131833,63.827553,59.0,52.39,False
000521.SZ,2026-05-08,完成,0.02502787372808026,0.02191958265569213,-0.7780498848070814,1.0943396226415094,1.1526,0.9818,True,5.6701,-1095.2718,-0.080385864,32.509827,7.45,5.6,False
600636.SH,2026-06-23,完成,0.09929107040563935,0.09999980576185215,-0.9109480252342916,1.0849673202614378,-13.0983,0.461,True,2.7174,,-0.6501901,25.266144,2.25,1.52,False
001314.SZ,2026-04-21,完成,0.011101690944537442,0.01055148141396862,0.052509459517911194,1.0841040818843262,0.3383,3.0076,False,0.2048,,-0.08995038,60.04889,47.34,44.7,False
603808.SH,2026-04-29,完成,0.013287355929427917,0.014735098456070966,-0.5861700066456996,1.0838574423480085,6.4685,1.5069,False,0.4726,183.4984,0.037549496,19.512981,10.13,8.47,False
000725.SZ,2026-05-30,完成,0.022205160968797225,0.027129971915368038,-0.8438682716560953,1.0768282155629547,1.2619,1.3909,False,0.9884,499.6496,0.3069054,35.86911,4.33,4.0,False
600774.SH,2026-05-20,完成,0.03119888821008604,0.020418536944291292,-0.7568021921500516,1.070662227155013,-11.1139,1.6344,False,,,-0.03780061,43.58592,13.25,11.49,False
601006.SH,2026-06-03,完成,0.01466191563146562,0.014312363318744387,-0.5778966781829602,1.0654827968923417,1.4428,0.621,True,4.333,21.651,-0.0038461685,13.05889,5.78,4.96,False
600278.SH,2026-05-15,完成,0.014861991860659372,0.013244221850729728,-0.47059962404093525,1.0621531631520533,0.4643,0.8117,True,1.4867,-622.7229,-0.09457749,14.827992,8.89,6.96,False
000070.SZ,2026-05-11,完成,0.010676206056222944,0.03679418520935043,-0.9027624761775886,1.0607966457023061,-0.9468,22.4947,False,,1041.3394,0.19988608,72.22332,7.138,5.29,False
688013.SH,2026-06-03,实施,0.01141803191228386,0.01090503920863132,-0.049004141833741244,1.0569737328893822,1.6973,3.9844,False,3.4947,-19.9282,-0.20955276,30.846722,30.32,28.98,False
002615.SZ,2026-04-01,完成,0.02157661613958916,0.021959379337877918,-0.8050079013230486,1.0483413491182638,5.8518,2.2364,False,1.5224,89.0938,-0.09847599,40.022827,8.66,7.65,False
002512.SZ,2026-05-14,实施,0.022393430005397626,0.0405272368931386,-0.9189977110121879,1.0406955234924158,-57.451,18.7872,False,,,0.10964906,27.50813,2.84,2.76,False
603669.SH,2026-04-22,完成,0.0191434394986948,0.012516516163135868,-0.4464125888434952,1.0374892095202861,-4.5849,5.0978,False,,,-0.04989159,15.621849,7.81,5.57,False
600810.SH,2026-04-13,完成,0.02059747224481902,0.018977688166042204,-0.7542708646315575,1.0336662967073622,-2.0262,1.3346,False,0.5021,,0.02930832,34.530495,10.86,7.5,False
002611.SZ,2026-05-30,完成,0.02703979512093085,0.08761466591336267,-0.9464994740676647,1.0329263780984093,-0.1641,3.6026,False,1.0275,-1067.2149,-0.06746805,131.82466,6.3,3.59,False
002135.SZ,2026-04-02,实施,0.015535661554867488,0.014706128874455379,-0.6736422178605815,1.0252805524725614,0.7849,1.1595,False,1.0687,-1713.591,0.15499997,25.271818,7.57,6.25,False
300673.SZ,2026-05-26,完成,0.014909124144180604,0.01327970985563605,-0.5748315137659679,0.9965470464915526,5.9994,2.2887,False,2.1058,131.8703,0.058271885,36.78976,19.013,17.48,False
002443.SZ,2026-06-06,实施,0.01766027222949418,0.0168034642477424,-0.7474575732530484,0.9961770871870761,1.146,1.6234,False,0.2677,52.1921,0.33795786,49.300358,11.81,11.0,False
603536.SH,2026-04-02,实施,0.01238162449561172,0.012480362510591805,-0.49280100751135036,0.9922308546059933,-9.0891,5.9985,False,,,-0.08152175,16.99464,10.43,9.01,False
603882.SH,2026-05-29,实施,0.010585020884138553,0.01005637729838717,-0.032980645584535395,0.9819953138488099,0.6544,1.868,False,3.4375,65.535,0.0049904585,27.963749,28.79,25.33,True
603043.SH,2026-06-17,完成,0.013218394801257569,0.011138372016708805,-0.2753921965267081,0.9780490812677272,1.3307,1.9028,False,3.7278,-50.6933,-0.07945955,21.973705,16.5,15.42,False
300498.SZ,2026-06-03,完成,0.01375626018129058,0.011240594554903822,-0.3852239564528971,0.9765692440498213,12.6859,2.2049,False,2.2855,202.4796,-0.18945432,26.750748,17.59,13.2157,False
688068.SH,2026-05-08,完成,0.014453582796219711,0.009751635081094456,0.001505740062184957,0.9701566161055617,-7.7689,4.266,False,,,-0.15169811,121.760864,176.79,145.59,True
603208.SH,2026-05-07,完成,0.021161644419927694,0.007356363897741464,0.13207169626773618,0.9532618078678012,-3.4113,2.3735,False,1.3889,,-0.05288464,30.062132,42.28,37.99,True
