date,elg_net,lg_net,md_net,sm_net,turnover,main_net
2024-05-10,-68.89956800000006,-137.6432990000002,29.024913999999686,177.51798200000002,9123.334098,-206.54286700000029
2024-05-13,-70.271717,-151.4870469999995,10.06136799999997,211.69733499999978,9095.018891,-221.7587639999995
2024-05-14,-28.462729000000003,-86.35918000000045,-5.557869000000134,120.37979100000001,8243.693104,-114.82190900000046
2024-05-15,-99.14536299999989,-147.5986919999998,21.503151000000162,225.24093200000004,7608.540648,-246.7440549999997
2024-05-16,16.54496900000004,-50.75631600000001,-20.7538,54.965201000000164,8476.037880000002,-34.211346999999975
2024-05-17,29.303345999999998,-75.4875870000001,-81.59451999999993,127.77883900000006,8871.699754000001,-46.18424100000011
2024-05-20,-60.96467699999995,-75.4057870000001,19.38730099999979,116.98312699999958,9951.791422,-136.37046400000006
2024-05-21,-113.64162900000001,-159.6267559999997,41.93976400000006,231.32859499999992,7990.519003,-273.2683849999997
2024-05-22,15.380602000000048,-76.50283600000031,-27.00482199999988,88.12712399999984,8310.688438,-61.12223400000027
2024-05-23,-179.6081369999999,-223.5427389999997,48.64086699999943,354.51001799999995,8474.686265999999,-403.1508759999996
2024-05-24,-93.20765300000002,-156.10305099999997,-12.6317,261.94243799999987,7637.542885,-249.310704
2024-05-27,-7.796660000000056,-64.22338100000005,-11.573133000000194,83.59319700000026,7746.441133,-72.0200410000001
2024-05-28,-77.56543100000005,-107.8138120000001,32.456294000000504,152.92292500000036,7415.669459999999,-185.37924300000014
2024-05-29,-5.996071999999974,-82.43120099999997,-34.97239899999984,123.39957699999995,7081.999297999999,-88.42727299999994
2024-05-30,-93.67222299999995,-125.14739800000004,8.263943999999762,210.5556089999996,7230.448464,-218.81962099999998
2024-05-31,-5.1230260000000705,-71.30877699999976,-46.88630899999998,123.31824699999989,7144.914019,-76.43180299999983
2024-06-03,-82.11516900000004,-149.28609100000003,21.28521300000027,210.11606799999998,8303.192503999999,-231.40126000000006
2024-06-04,-13.985612999999988,-78.83961899999994,-27.974576000000162,120.79977899999992,7455.018883,-92.82523199999993
2024-06-05,-74.07424100000001,-122.08311999999992,1.4122659999996423,194.7451120000001,6883.6927829999995,-196.15736099999992
2024-06-06,-73.18159100000001,-202.30341000000016,-50.85553900000006,326.34055700000005,8455.468993999999,-275.4850010000002
2024-06-07,-57.27686299999989,-66.60915600000006,-16.76227100000009,140.64833699999974,7166.267021000001,-123.88601899999995
2024-06-11,-41.215760999999944,-68.914175,7.844133999999985,102.28585199999995,7027.439117,-110.12993599999994
2024-06-12,2.082596999999974,-16.97984200000018,-16.513255000000076,31.41049299999997,6917.182016,-14.897245000000204
