代码,名称,行业,PE分位,PB分位,value便宜排名,F分,7项明细,负债率,现金流ocfps,ROA,流通市值亿
603855,华荣股份,专用机械,0.38,0.0,0.92,5,✓✓·✓✓✓·,52.9,0.15,2.3,55.6
688088,虹软科技,软件服务,0.0,0.28,0.92,5,✓·✓·✓✓✓,7.3,-0.02,1.9,133.9
300832,新产业,医疗保健,0.0,0.0,0.92,5,✓✓·✓✓✓·,7.1,0.46,5.0,289.6
002236,大华股份,IT设备,0.24,0.03,0.92,5,✓·✓·✓✓✓,24.7,-0.25,1.3,382.1
603053,成都燃气,供气供热,0.04,0.0,0.92,5,✓✓·✓✓✓·,35.8,0.11,2.2,73.9
301631,壹连科技,元器件,0.2,0.43,0.92,5,✓✓·✓·✓✓,54.2,0.16,1.6,31.7
600150,中国船舶,船舶,0.0,0.1,0.92,7,✓✓✓✓✓✓✓,62.7,1.08,1.2,2513.6
600233,圆通速递,仓储物流,0.02,0.05,0.92,5,✓✓✓✓·✓·,32.8,0.46,3.1,523.4
600309,万华化学,化工原料,0.63,0.1,0.92,6,✓✓✓✓✓·✓,64.3,2.19,1.8,2247.4
600523,贵航股份,汽车配件,0.0,0.01,0.92,5,✓·✓·✓✓✓,18.7,-0.11,1.2,42.6
002517,恺英网络,互联网,0.13,0.14,0.92,5,✓✓✓✓··✓,22.4,0.2,6.8,294.7
600598,北大荒,种植业,0.0,0.0,0.91,6,✓✓✓✓✓·✓,45.4,3.14,4.8,191.8
002027,分众传媒,广告包装,0.37,0.05,0.91,6,✓✓✓✓·✓✓,25.3,0.15,9.1,687.4
600983,惠而浦,家用电器,0.0,0.0,0.91,5,✓✓·✓✓✓·,48.0,0.02,1.5,53.0
603689,皖天然气,供气供热,0.02,0.0,0.91,6,✓✓✓✓✓✓·,41.3,0.46,2.2,36.5
000755,山西高速,路桥,0.04,0.0,0.91,6,✓✓✓✓✓·✓,53.7,0.13,1.5,63.1
688267,中触媒,化工原料,0.01,0.39,0.91,5,✓✓·✓✓·✓,6.7,0.06,1.2,44.1
002555,三七互娱,互联网,0.17,0.14,0.91,5,✓✓✓✓·✓·,34.8,0.17,4.7,292.2
600763,通策医疗,医疗保健,0.0,0.0,0.9,6,✓✓✓✓✓·✓,23.3,0.36,4.0,149.1
000895,双汇发展,食品,0.04,0.0,0.9,6,✓✓✓✓✓✓·,47.5,0.29,4.2,789.8
603658,安图生物,医疗保健,0.0,0.0,0.9,5,✓✓·✓✓✓·,24.4,0.26,2.1,164.1
301381,赛维时代,互联网,0.12,0.01,0.9,5,✓✓·✓✓·✓,39.6,0.12,1.3,36.2
