Signal Date,code,Name,Close,Score,VolRatio,market_vol_ratio,mom_acc,ret_10,ret_20,dist_high,bias_20,macd_hist,bb_position,alpha_mom10,sector_rs_5,sector_rs_10,gap,gap_ma3,reversal,rsi,beta_60d,clv_ma5,vol_10,vol_20,vol_5,skew_10,skew_20,skew_5,atr_ratio,vol_ratio,vol_ratio5,vol_ratio10,turnover_cv,turnover_cv10,turnover_cv5,open_strength_ma5,vpt,buy_force,sector_heat,sector_support,pv_corr,smart_proxy,illiq_ma10,amp_ma_5,amp_ma_10,amp_ma_20,vol_z,mom_10,near_high,pv_divergence,vol_stability,downside_rs,accum_trend,coil,mf_cum20,mf_trend,elg_cum20,size_lnmv,val_pe_ttm,val_pb,val_dv_ttm,to_rate_f
2026-05-26,300390,天华新能,92.22,1.0,0.3,0.143,0.237,0.282,0.822,0.347,0.374,0.012,0.577,,0.818,0.167,0.086,0.087,0.111,0.664,0.315,0.952,0.534,0.958,0.568,0.722,0.966,0.073,0.92,0.3,0.44,0.427,0.135,0.158,0.579,0.925,0.519,0.957,0.9,0.9,0.583,0.929,0.012,0.783,,,0.33,,,0.983,,0.981,0.371,0.978,,,,,,,,
2026-05-26,603501,豪威集团,106.07,1.0,0.737,0.143,0.236,0.788,0.816,0.567,0.791,0.956,0.892,,0.803,0.738,0.752,0.89,0.681,0.845,0.374,0.903,0.426,0.592,0.51,0.562,0.905,0.487,0.348,0.737,0.528,0.726,0.217,0.591,0.825,0.769,0.892,0.915,0.9,0.9,0.552,0.592,0.015,0.389,,,0.706,,,0.818,,0.498,0.952,0.167,,,,,,,,
2026-05-26,002460,赣锋锂业,75.0,0.999,0.22,0.143,0.748,0.227,0.388,0.408,0.202,0.029,0.41,,0.546,0.139,0.283,0.382,0.276,0.348,0.165,0.77,0.313,0.569,0.182,0.347,0.783,0.23,0.596,0.22,0.439,0.373,0.299,0.198,0.627,0.751,0.314,0.609,0.9,0.9,0.887,0.845,0.01,0.334,,,0.254,,,0.86,,0.687,0.363,0.961,,,,,,,,
2026-05-26,300750,宁德时代,402.5,0.999,0.666,0.143,0.743,0.455,0.306,0.617,0.355,0.005,0.293,,0.363,0.277,0.933,0.791,0.273,0.247,0.099,0.005,0.02,0.345,0.036,0.367,0.894,0.057,0.262,0.666,0.702,0.745,0.004,0.022,0.147,0.362,0.19,0.036,0.9,0.9,0.644,0.314,0.0,0.1,,,0.839,,,0.24,,0.663,0.015,0.96,,,,,,,,
2026-05-26,002709,天赐材料,51.99,0.999,0.2,0.143,0.269,0.182,0.685,0.379,0.139,0.04,0.272,,0.302,0.119,0.041,0.031,0.572,0.433,0.193,0.523,0.77,0.869,0.877,0.522,0.482,0.311,0.869,0.2,0.086,0.275,0.061,0.265,0.486,0.678,0.305,0.528,0.9,0.9,0.444,0.185,0.013,0.812,,,0.153,,,0.624,,0.605,0.44,0.851,,,,,,,,
2026-05-26,000333,美的集团,79.55,0.998,0.293,0.143,0.515,0.708,0.566,0.878,0.631,0.158,0.443,,0.516,0.611,0.703,0.316,0.299,0.48,0.035,0.251,0.064,0.018,0.036,0.173,0.234,0.228,0.034,0.293,0.337,0.212,0.022,0.165,0.144,0.651,0.461,0.338,0.9,0.9,0.699,0.302,0.007,0.042,,,0.039,,,0.746,,0.959,0.665,0.521,,,,,,,,
2026-05-26,688256,寒武纪,1410.96,0.998,0.635,0.143,0.578,0.899,0.71,0.202,0.742,0.004,0.701,,0.883,0.88,0.069,0.82,0.226,0.807,0.473,0.637,0.867,1.0,0.87,0.66,0.018,0.615,0.962,0.635,0.566,0.563,0.279,0.072,0.298,0.908,0.736,0.883,0.9,0.9,0.096,0.595,0.002,0.805,,,0.533,,,0.944,,0.949,0.327,0.318,,,,,,,,
2026-05-26,002281,光迅科技,206.72,0.998,0.468,0.143,0.007,0.785,0.981,0.615,0.911,0.209,0.773,,0.068,0.735,0.025,0.014,0.98,0.765,0.566,0.691,0.927,0.936,0.884,0.41,0.259,0.294,0.942,0.468,0.358,0.381,0.0,0.012,0.101,0.709,0.729,0.58,0.9,0.9,0.324,0.021,0.005,0.88,,,0.052,,,0.207,,0.989,0.482,0.49,,,,,,,,
2026-05-26,601138,工业富联,69.98,0.998,0.441,0.143,0.532,0.88,0.646,0.934,0.808,0.333,0.879,,0.756,0.86,0.359,0.785,0.318,0.852,0.515,0.984,0.762,0.713,0.627,0.911,0.81,0.391,0.568,0.441,0.573,0.308,0.163,0.603,0.098,0.742,0.836,0.614,0.9,0.9,0.393,0.846,0.001,0.475,,,0.348,,,0.922,,0.769,0.133,0.223,,,,,,,,
2026-05-26,001311,多利科技,22.06,0.997,0.834,0.143,0.755,0.011,0.018,0.003,0.006,0.12,0.001,,0.013,0.014,0.002,0.004,0.999,0.078,0.847,0.879,0.981,0.948,0.994,0.009,0.007,0.015,0.975,0.834,0.804,0.877,0.012,0.26,0.325,0.883,0.002,0.778,0.3,0.3,0.084,0.386,0.91,0.638,,,0.919,,,0.012,,0.004,0.855,0.588,,,,,,,,
